instance,depth,OCTWS,OCTNoWS,OCTWSModified,CART
Breast Cancer,1,0.6809523809523809,0.6809523809523809,0.6809523809523809,0.7000000000000001
Breast Cancer,2,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.7428571428571429
Breast Cancer,3,0.6952380952380951,0.7238095238095239,0.6952380952380951,0.7142857142857143
Breast Cancer,4,0.6666666666666666,0.6904761904761904,0.6619047619047619,0.7142857142857143
Car Evaluation,1,0.6844135802469135,0.6844135802469135,0.6844135802469135,0.6844135802469135
Car Evaluation,2,0.7831790123456791,0.7831790123456791,0.7831790123456791,0.7816358024691358
Car Evaluation,3,0.7569444444444443,0.8001543209876543,0.7901234567901234,0.7816358024691358
Car Evaluation,4,0.8032407407407408,0.8032407407407408,0.8086419753086419,0.8418209876543209
Credit Approval,1,0.8577235772357724,0.8577235772357724,0.8577235772357724,0.8577235772357724
Credit Approval,2,0.8577235772357724,0.8577235772357724,0.8577235772357724,0.8577235772357724
Credit Approval,3,0.8760162601626016,0.8597560975609756,0.8821138211382115,0.8577235772357724
Credit Approval,4,0.8699186991869919,0.8597560975609756,0.8882113821138211,0.8821138211382115
Heart Disease,1,0.5644444444444444,0.5644444444444444,0.5644444444444444,0.5333333333333333
Heart Disease,2,0.5555555555555555,0.5644444444444444,0.5644444444444444,0.5333333333333333
Heart Disease,3,0.5644444444444444,0.5555555555555556,0.5644444444444444,0.5333333333333333
Heart Disease,4,0.5644444444444444,0.5777777777777778,0.5644444444444444,0.5333333333333333
Ionosphere,1,0.8446969696969697,0.837121212121212,0.8446969696969697,0.8409090909090908
Ionosphere,2,0.8106060606060606,0.8446969696969697,0.7916666666666666,0.8409090909090908
Ionosphere,3,0.8409090909090908,0.8181818181818182,0.8446969696969697,0.8409090909090908
Ionosphere,4,0.8030303030303031,0.8030303030303031,0.8446969696969697,0.8409090909090908
Iris,1,0.5526315789473685,0.5526315789473685,0.5964912280701754,0.6929824561403509
Iris,2,0.8947368421052632,0.8947368421052632,0.912280701754386,0.9210526315789473
Iris,3,0.912280701754386,0.912280701754386,0.9298245614035087,0.9210526315789473
Iris,4,0.9122807017543858,0.9385964912280701,0.9385964912280701,0.9210526315789473
Mushroom,1,0.93739664540515,0.93739664540515,0.93739664540515,0.93739664540515
Mushroom,2,0.9855894164894874,0.9855894164894874,0.9855894164894874,0.9855894164894874
Mushroom,3,0.954169619655091,0.954169619655091,0.9222773446728089,0.9855894164894874
Mushroom,4,0.7498228206945429,0.7498228206945429,0.6444601937160407,0.9855894164894874
Statlog (German Credit Data),1,0.7280000000000001,0.7280000000000001,0.7280000000000001,0.7186666666666666
Statlog (German Credit Data),2,0.7333333333333334,0.7319999999999999,0.7333333333333334,0.7280000000000001
Statlog (German Credit Data),3,0.7186666666666666,0.7106666666666667,0.7213333333333333,0.7266666666666666
Statlog (German Credit Data),4,0.7239999999999999,0.7239999999999999,0.7186666666666666,0.7280000000000001
Wine,1,0.6222222222222222,0.6296296296296297,0.6222222222222222,0.6
Wine,2,0.9407407407407407,0.9333333333333332,0.9333333333333332,0.925925925925926
Wine,3,0.9703703703703703,0.9777777777777776,0.9555555555555554,0.9111111111111111
Wine,4,0.9407407407407407,0.9259259259259259,0.9555555555555554,0.9333333333333332
Zoo,1,0.576923076923077,0.576923076923077,0.576923076923077,0.576923076923077
Zoo,2,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.6794871794871794
Zoo,3,0.8846153846153846,0.8846153846153846,0.8974358974358975,0.8205128205128206
Zoo,4,0.9102564102564102,0.9102564102564102,0.935897435897436,0.8333333333333334
