instance,depth,OCTWS,OCTnoWS,OCTWSModified
Breast Cancer,1,0.18726725048489035,0.2201508416069878,0.2547859880659315
Breast Cancer,2,39.55013733439975,31.51797456211514,32.36843856175741
Breast Cancer,3,546.4786779615614,569.0499465200636,545.3668013148838
Breast Cancer,4,578.5547018051147,583.38876191775,556.8077795770433
Car Evaluation,1,2.5214507314893932,2.822706275516086,1.8302404085795085
Car Evaluation,2,561.1572175555759,538.7517201370663,438.3340486155616
Car Evaluation,3,601.5917332172394,601.5727679729462,601.5537411371866
Car Evaluation,4,603.5965221458011,603.6415992312961,603.8258316516876
Credit Approval,1,1.511892769071791,1.775689548916287,0.9979466862148709
Credit Approval,2,579.5153064727783,600.3416398896111,582.6699210272895
Credit Approval,3,600.6776738431719,600.6703831884596,600.6545683277977
Credit Approval,4,601.432477315267,601.4005634519789,601.543641169866
Heart Disease,1,1.6582594712575276,1.6425189971923828,1.472437858581543
Heart Disease,2,554.8645904593998,525.240641064114,562.0967085361481
Heart Disease,3,600.5694081253475,600.5505320496029,600.5499398443434
Heart Disease,4,600.8771254486508,600.8328881528643,600.959951877594
Ionosphere,1,1.3373277452256944,1.91997938685947,1.3103181256188288
Ionosphere,2,447.59934865103827,434.74309815300836,444.8837351269192
Ionosphere,3,497.19437691900464,502.09245615535315,486.24192950460645
Ionosphere,4,480.78089427948,480.8642727136612,496.04423009024725
Iris,1,0.15979099273681638,0.2000726291111537,0.16719333330790198
Iris,2,9.918047394071307,6.751692573229472,5.6528392632802325
Iris,3,58.70403321584066,56.69492260615031,36.09633959664239
Iris,4,312.16398290793103,311.49648638566333,112.93428259425693
Mushroom,1,14.168716960483128,23.959705882602268,15.146014716890123
Mushroom,2,460.31856115659076,500.96184097396,466.3558377689785
Mushroom,3,592.8453616566128,592.3540708223978,605.4683311250475
Mushroom,4,614.1015905539194,614.1272299024794,616.7587392595079
Statlog (German Credit Data),1,3.3243901199764676,3.360014412138197,4.43357237180074
Statlog (German Credit Data),2,600.4718500773112,600.4764604833391,600.4845922258165
Statlog (German Credit Data),3,600.9946309725443,601.0062646336025,601.0520655579037
Statlog (German Credit Data),4,602.4712217450142,602.3937151730061,602.5462801986271
Wine,1,0.4941713213920593,0.4893038868904114,0.4234037664201524
Wine,2,9.531925439834595,12.93730029463768,6.921008798811171
Wine,3,22.774501234292984,30.36581097330366,24.893309169345432
Wine,4,34.64285063743591,43.44939520955086,51.75382129351298
Zoo,1,0.08332361115349658,0.08635571267869731,0.07391421000162758
Zoo,2,4.352676418092516,4.2797319359249535,4.111411492029826
Zoo,3,145.68185906940036,144.0143601629469,106.97690346505907
Zoo,4,518.6682435936398,476.32849915822345,478.9327049255371
