instance,depth,seed,train_acc,val_acc,test_acc,train_time
Heart failure,2,37,0.831081081081081,0.7837837837837838,0.6933333333333334,0.0018169879913330078
Heart failure,2,37,0.831081081081081,0.7837837837837838,0.6933333333333334,0.0020799636840820312
Heart failure,2,37,0.7972972972972973,0.7432432432432432,0.68,0.0015571117401123047
Heart failure,2,42,0.8243243243243243,0.6621621621621622,0.6933333333333334,0.0013751983642578125
Heart failure,2,42,0.8243243243243243,0.6621621621621622,0.6933333333333334,0.0013570785522460938
Heart failure,2,42,0.7972972972972973,0.6621621621621622,0.72,0.0009710788726806641
Heart failure,3,37,0.8851351351351351,0.8108108108108109,0.7466666666666667,0.0013680458068847656
Heart failure,3,37,0.8851351351351351,0.8108108108108109,0.7466666666666667,0.002048015594482422
Heart failure,3,37,0.7972972972972973,0.7432432432432432,0.68,0.0019290447235107422
Heart failure,3,42,0.8716216216216216,0.6891891891891891,0.72,0.0017309188842773438
Heart failure,3,42,0.8716216216216216,0.7027027027027027,0.72,0.0014531612396240234
Heart failure,3,42,0.7972972972972973,0.6621621621621622,0.72,0.0011582374572753906
